Blocks: 0, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 0, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 10, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 10, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 10, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 20, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 20, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 20, UNleveraged gain: 1000000000, Ideal leveraged gain: 1000000000, Actual gain: 1000000000
Blocks: 30, UNleveraged gain: 976942482, Ideal leveraged gain: 954416613, Actual gain: 965581070
Blocks: 40, UNleveraged gain: 976942482, Ideal leveraged gain: 954416613, Actual gain: 965581070
Blocks: 50, UNleveraged gain: 954026674, Ideal leveraged gain: 910166896, Actual gain: 910040183
Blocks: 60, UNleveraged gain: 942708293, Ideal leveraged gain: 888698925, Actual gain: 888575201
